Year,SeaIceExt
1979,7.96
1980,7.75
1981,7.78
1982,7.98
1983,8.06
1984,7.79
1985,7.30
1986,7.88
1987,7.62
1988,7.91
1989,7.88
1990,6.84
1991,7.46
1992,7.90
1993,7.31
1994,7.54
1995,6.70
1996,8.19
1997,7.30
1998,7.42
1999,7.26
2000,7.19
2001,7.46
2002,6.62
2003,6.84
2004,6.87
2005,6.30
2006,6.53
2007,5.32
2008,5.97
2009,6.19
2010,5.94
2011,5.42
2012,4.66
2013,6.03
2014, 6.20
